latin_name,status,year
Calidris pugnax,LR/lc,2000
Calidris pugnax,LR/lc,1994
Calidris pugnax,LR/lc,1988
Phalaropus lobatus,LC,2016
Phalaropus lobatus,LC,2012
Phalaropus lobatus,LC,2009
Phalaropus lobatus,LC,2008
Phalaropus lobatus,LC,2004
Phalaropus lobatus,LR/lc,2000
Phalaropus lobatus,LR/lc,1994
Phalaropus lobatus,LR/lc,1988
Phalaropus fulicarius,LC,2016
Phalaropus fulicarius,LC,2012
Phalaropus fulicarius,LC,2009
Phalaropus fulicarius,LC,2008
Phalaropus fulicarius,LC,2004
Phalaropus fulicarius,LR/lc,2000
Phalaropus fulicarius,LR/lc,1994
Phalaropus fulicarius,LR/lc,1988
Gavia stellata,LC,2016
Gavia stellata,LC,2012
Gavia stellata,LC,2009
Gavia stellata,LC,2008
Gavia stellata,LC,2004
Gavia stellata,LR/lc,2000
Gavia stellata,LR/lc,1994
Gavia stellata,LR/lc,1988
Gavia arctica,LC,2016
Gavia arctica,LC,2014
Gavia arctica,LC,2012
Gavia arctica,LC,2009
Gavia arctica,LC,2008
Gavia arctica,LC,2004
Gavia arctica,LR/lc,2000
Gavia arctica,LR/lc,1994
Gavia arctica,LR/lc,1988
Gavia pacifica,LC,2016
Gavia pacifica,LC,2012
Gavia pacifica,LC,2009
Gavia pacifica,LC,2008
Gavia pacifica,LC,2004
Gavia pacifica,LR/lc,2000
Gavia pacifica,LR/lc,1994
Gavia pacifica,LR/lc,1988
Gavia immer,LC,2016
Gavia immer,LC,2012
Gavia immer,LC,2009
Gavia immer,LC,2008
Gavia immer,LC,2004
Gavia immer,LR/lc,2000
Gavia immer,LR/lc,1994
Gavia immer,LR/lc,1988
Gavia adamsii,NT,2016
Gavia adamsii,NT,2015
Gavia adamsii,NT,2012
Gavia adamsii,NT,2010
Gavia adamsii,LC,2009
Gavia adamsii,LC,2008
Gavia adamsii,LC,2004
Gavia adamsii,LR/lc,2000
Gavia adamsii,LR/lc,1994
Gavia adamsii,LR/lc,1988
Fulmarus glacialis,LC,2017
Fulmarus glacialis,LC,2016
Fulmarus glacialis,LC,2012
Fulmarus glacialis,LC,2009
Fulmarus glacialis,LC,2008
Fulmarus glacialis,LC,2004
Fulmarus glacialis,LR/lc,2000
Fulmarus glacialis,LR/lc,1994
Fulmarus glacialis,LR/lc,1988
Phalacrocorax pelagicus,LC,2016
Phalacrocorax pelagicus,LC,2012
Phalacrocorax pelagicus,LC,2009
Phalacrocorax pelagicus,LC,2008
Phalacrocorax pelagicus,LC,2004
Phalacrocorax pelagicus,LR/lc,2000
Phalacrocorax pelagicus,LR/lc,1994
Phalacrocorax pelagicus,LR/lc,1988
Catharacta skua,LC,2017
Catharacta skua,LC,2016
Catharacta skua,LC,2012
Catharacta skua,LC,2009
Catharacta skua,LC,2008
Catharacta skua,LC,2004
Catharacta skua,LR/lc,2000
Catharacta skua,LR/lc,1994
Catharacta skua,LR/lc,1988
Stercorarius pomarinus,LC,2016
Stercorarius pomarinus,LC,2012
Stercorarius pomarinus,LC,2009
Stercorarius pomarinus,LC,2008
Stercorarius pomarinus,LC,2004
Stercorarius pomarinus,LR/lc,2000
Stercorarius pomarinus,LR/lc,1994
Stercorarius pomarinus,LR/lc,1988
Stercorarius parasiticus,LC,2016
Stercorarius parasiticus,LC,2012
Stercorarius parasiticus,LC,2009
Stercorarius parasiticus,LC,2008
Stercorarius parasiticus,LC,2004
Stercorarius parasiticus,LR/lc,2000
Stercorarius parasiticus,LR/lc,1994
Stercorarius parasiticus,LR/lc,1988
Stercorarius longicaudus,LC,2016
Stercorarius longicaudus,LC,2012
Stercorarius longicaudus,LC,2009
Stercorarius longicaudus,LC,2008
Stercorarius longicaudus,LC,2004
Stercorarius longicaudus,LR/lc,2000
Stercorarius longicaudus,LR/lc,1994
Stercorarius longicaudus,LR/lc,1988
Rissa tridactyla,VU,2017
Rissa tridactyla,LC,2016
Rissa tridactyla,LC,2012
Rissa tridactyla,LC,2010
Rissa tridactyla,LC,2009
Rissa tridactyla,LC,2008
Rissa tridactyla,LC,2004
Rissa tridactyla,LR/lc,2000
Rissa tridactyla,LR/lc,1994
Rissa tridactyla,LR/lc,1988
Pagophila eburnea,NT,2017
Pagophila eburnea,NT,2016
Pagophila eburnea,NT,2012
Pagophila eburnea,NT,2010
Pagophila eburnea,NT,2008
Pagophila eburnea,NT,2006
Pagophila eburnea,NT,2005
Pagophila eburnea,LC,2004
Pagophila eburnea,LR/lc,2000
Pagophila eburnea,LR/lc,1994
Pagophila eburnea,LR/lc,1988
Xema sabini,LC,2017
Xema sabini,LC,2016
Xema sabini,LC,2012
Xema sabini,LC,2009
Xema sabini,LC,2008
Xema sabini,LC,2004
Xema sabini,LR/lc,2000
Xema sabini,LR/lc,1994
Xema sabini,LR/lc,1988
Rhodostethia rosea,LC,2016
Rhodostethia rosea,LC,2012
Rhodostethia rosea,LC,2009
Rhodostethia rosea,LC,2008
Rhodostethia rosea,LC,2004
Rhodostethia rosea,LR/lc,2000
Rhodostethia rosea,LR/lc,1994
Rhodostethia rosea,LR/lc,1988
Larus hyperboreus,LC,2016
Larus hyperboreus,LC,2012
Larus hyperboreus,LC,2009
Larus hyperboreus,LC,2008
Larus hyperboreus,LC,2004
Larus hyperboreus,LR/lc,2000
