common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Beluga,Delphinapterus leucas,Monodontidae,Marine,Mammalia,Marine mammals,1430000,40,1644,1,0.3,4,NT,2012,1,1,1,1,13,6,NA,1430000,218,500,3,4,6,4,8,8,9,4,8,5,14,11,17,14,12,8,12,16,11,21,15,18,25,22,23,30,31,21,36,38,46,1996,6,VU
Narwhal,Monodon monoceros,Monodontidae,Marine,Mammalia,Marine mammals,1250000,50,2191,1,0.3,4.2,NT,2012,1,1,0,1,5,6,NA,1250000,55,119,0,2,1,1,3,2,8,1,5,1,1,6,1,2,1,3,3,7,4,4,6,5,3,3,6,8,6,5,9,5,7,2008,6,NT
Harbor porpoise,Phocoena phocoena,Phocoenidae,Marine,Mammalia,Marine mammals,52500,20.4,1055,1,1,4.1,LC,2008,1,1,1,0,15,6,NA,52500,337,874,2,5,3,8,11,9,8,10,11,16,20,30,28,19,15,26,18,33,23,37,38,34,30,50,40,48,58,57,77,62,48,1996,5,VU
Dall's porpoise,Phocoenoides dalli,Phocoenidae,Marine,Mammalia,Marine mammals,120000,22,1826,1,0.7,4.1,LC,2012,1,1,0,0,9,6,NA,120000,30,79,1,2,0,2,1,3,1,0,3,3,0,5,1,5,2,5,3,7,3,3,4,5,2,2,1,0,1,6,2,3,3,1996,4,LR/cd
Sperm whale,Physeter macrocephalus,Physeteridae,Marine,Mammalia,Marine mammals,28500000,77,2922,1,0.2,4.4,VU,2008,1,1,0,0,13,6,NA,28500000,267,617,1,3,3,5,7,10,13,4,6,17,12,21,11,13,25,22,17,26,18,21,34,25,28,32,23,21,29,48,45,47,31,1996,3,VU
Baird's beaked whale,Berardius bairdii,Ziphiidae,Marine,Mammalia,Marine mammals,11400000,84,4383,1,0.3,4.2,DD,2008,1,1,0,1,6,6,NA,11400000,8,17,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,2,0,0,0,1,2,0,0,0,1,2,0,1,0,1,1996,3,LR/cd
Stejneger's beaked whale,Mesoplodon stejnegeri,Ziphiidae,Marine,Mammalia,Marine mammals,1930000,NA,NA,1,NA,4.4,DD,2008,1,1,0,1,8,3,NA,1930000,3,9,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,NA,3,NA
Cuvier's beaked whale,Ziphius cavirostris,Ziphiidae,Marine,Mammalia,Marine mammals,2700000,62,NA,1,NA,4.3,LC,2008,1,1,1,1,7,4,NA,2700000,25,94,0,0,0,0,1,0,0,1,0,2,1,1,0,1,2,2,1,3,1,6,8,5,5,7,7,4,3,7,6,16,5,2008,3,LC
Northern bottlenose whale,Hyperoodon ampullatus,Ziphiidae,Marine,Mammalia,Marine mammals,6500000,37,3652,1,1,4.2,DD,2008,1,1,0,1,7,6,NA,6500000,23,84,0,0,0,0,1,1,2,1,1,1,3,2,3,3,9,4,4,3,3,1,4,2,1,2,6,4,2,4,4,9,4,1986,6,V
Sea otter,Enhydra lutris,Mustelidae,Marine,Mammalia,Marine mammals,25850,27,974,1,0.8,3.4,EN,2015,1,1,1,1,17,6,NA,25850,206,758,2,6,4,9,14,12,10,10,12,15,14,17,8,25,23,21,27,32,25,29,31,41,35,34,49,30,30,42,54,51,46,1996,5,LR/lc
Pacific lamprey,Entosphenus tridentatus,Petromyzontidae,Freshwater,Cephalaspidomorphi,Freshwater fishes,275,9,2007,7e4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,5,41,275,87,176,0,1,0,0,0,1,2,1,1,6,2,1,0,1,1,4,6,3,10,2,4,7,8,8,12,14,13,14,18,16,20,NA,NA,NA
Arctic lamprey,Lethenteron camtschaticum,Petromyzontidae,Freshwater,Cephalaspidomorphi,Freshwater fishes,88,7,1642,29780,NA,4.5,LC,2013,1,1,0,0,4,5,16.1,88,7,26,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,2,1,0,0,0,1,1,1,1,2,4,1,4,1,1,2008,2,LC
Far eastern brook lamprey,Lethenteron reissneri,Petromyzontidae,Freshwater,Cephalaspidomorphi,Freshwater fishes,381,4,NA,2447,NA,NA,LC,2008,NA,NA,NA,NA,NA,3,18,NA,7,26,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,3,1,0,0,1,2,0,1,1,1,1,4,2,2,1,0,2008,1,LC
Siberian brook lamprey,Lethenteron kessleri,Petromyzontidae,Freshwater,Cephalaspidomorphi,Freshwater fishes,177,7,2190,2973,NA,2.2,NA,NA,NA,NA,NA,NA,NA,5,13.3,NA,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA
Sea lamprey,Petromyzon marinus,Petromyzontidae,Freshwater,Cephalaspidomorphi,Freshwater fishes,1375,11,3193,65e3,NA,4.4,LC,2013,0,0,0,0,0,5,67.5,1375,383,833,4,5,2,8,14,9,18,26,29,22,13,17,15,19,21,20,75,35,20,27,39,58,33,29,42,34,38,42,33,46,40,1996,3,LR/lc
Siberian sturgeon,Acipenser baerii,Acipenseridae,Freshwater,Actinopterygii,Freshwater fishes,210000,63,3285,NA,NA,3.2,EN,2010,1,1,1,0,9,4,167,210000,120,258,0,0,1,0,2,0,1,0,0,3,8,4,10,7,1,16,3,5,10,17,8,14,9,6,28,14,19,20,20,15,17,1996,2,VU
Sterlet,Acipenser ruthenus,Acipenseridae,Freshwater,Actinopterygii,Freshwater fishes,8800,46.1,2129,NA,NA,3.6,VU,2010,1,1,1,0,8,4,45,8800,75,158,1,0,1,1,0,0,1,1,1,3,6,0,9,1,1,11,0,5,8,14,3,10,8,4,10,10,10,8,10,7,14,1996,2,VU
Atlantic sturgeon,Acipenser sturio,Acipenseridae,Marine,Actinopterygii,Marine fishes,220000,100,4608,NA,NA,3.5,CR,2010,1,1,0,0,10,4,125,220000,168,457,0,1,0,1,5,2,4,0,2,5,16,12,21,17,8,29,6,13,12,16,18,20,23,16,38,28,32,39,30,26,17,1988,4,E
European eel,Anguilla anguilla,Anguillidae,Freshwater,Actinopterygii,Freshwater fishes,3629,88,4562,NA,NA,3.6,CR,2014,1,1,1,1,50,4,50,3629,1413,3015,33,26,25,47,42,68,53,62,64,75,82,106,92,107,93,121,135,121,113,121,131,129,133,106,126,143,127,144,117,153,119,2008,4,CR
American eel,Anguilla rostrata,Anguillidae,Freshwater,Actinopterygii,Freshwater fishes,4032,50,NA,NA,NA,3.6,EN,2014,1,1,1,1,13,3,50,4032,194,626,9,6,3,4,8,12,11,11,16,14,22,24,16,23,27,22,25,21,27,30,31,28,31,22,21,25,28,29,22,39,19,2014,1,EN
American shad,Alosa sapidissima,Clupeidae,Marine,Actinopterygii,Marine fishes,3025,13,NA,NA,NA,3.6,LC,2013,1,1,0,0,12,3,50,3025,108,384,0,1,1,2,9,6,11,1,6,14,7,7,7,10,12,12,10,15,20,11,18,20,10,18,19,30,15,30,30,18,14,2013,1,LC
Pond smelt,Hypomesus olidus,Osmeridae,Freshwater,Actinopterygii,Freshwater fishes,50,10,NA,NA,NA,2.9,LC,2013,NA,NA,NA,NA,NA,3,11.3,50,12,29,0,0,0,0,0,1,0,1,0,0,1,2,2,3,2,1,0,2,2,1,2,0,2,0,1,2,2,2,0,0,0,2008,2,LC
European smelt,Osmerus eperlanus,Osmeridae,Freshwater,Actinopterygii,Freshwater fishes,178,10,730,42e3,NA,3.5,LC,2011,1,0,0,0,6,5,16.5,178,31,166,3,2,0,1,6,7,3,5,5,1,7,6,6,6,6,10,10,5,7,8,8,4,6,7,4,5,4,4,5,12,3,2008,2,LC
Rainbow smelt,Osmerus mordax,Osmeridae,Marine,Actinopterygii,Marine fishes,486,7,NA,NA,NA,3.4,LC,2013,NA,NA,NA,NA,NA,3,19.8,NA,102,522,3,2,3,4,10,11,14,13,26,23,18,33,17,19,24,12,12,21,20,33,20,16,26,18,19,25,15,18,16,14,17,2013,1,LC
Common bream,Abramis brama,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,3306,23,NA,NA,NA,3.2,LC,2008,NA,NA,NA,NA,NA,3,25,3306,110,620,3,1,2,8,5,15,11,17,13,16,27,30,24,16,13,18,29,21,21,21,27,25,28,29,32,25,33,24,30,32,23,2008,1,LC
Crucian carp,Carassius carassius,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,200,10,NA,19e3,NA,3.1,LC,2008,0,0,1,0,2,4,15,200,734,2318,18,14,15,14,53,54,49,42,48,43,61,51,50,63,56,64,65,86,68,78,87,96,98,121,117,126,140,139,119,147,136,1996,2,LR/lc
Prussian carp,Carassius gibelio,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,200,10,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,3,20,200,164,366,1,0,1,2,0,2,1,0,0,1,1,2,3,4,8,7,3,13,6,13,12,19,14,28,24,31,30,40,26,41,33,NA,NA,NA
Lake chub,Couesius plumbeus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,97,5,NA,NA,NA,3.4,LC,2013,NA,NA,NA,NA,NA,3,10.5,NA,22,175,1,0,0,1,4,2,2,4,6,8,7,3,3,9,4,8,2,3,5,4,7,8,11,8,14,9,7,6,9,12,8,2013,1,LC
Ide,Leuciscus idus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,2200,18,NA,NA,NA,3.8,LC,2008,NA,NA,NA,NA,NA,3,30,2200,22,96,0,0,0,1,1,1,0,2,1,2,5,5,4,3,1,2,10,3,0,2,3,4,6,6,2,4,7,6,5,4,5,1996,2,LR/lc
Common dace,Leuciscus leuciscus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,550,16,NA,NA,NA,2.9,LC,2011,NA,NA,NA,NA,NA,3,15,550,127,527,1,3,1,4,5,10,7,9,13,12,21,22,20,19,22,14,35,25,17,17,27,34,23,33,20,23,17,26,13,18,16,1996,2,LR/lc
Spottail shiner,Notropis hudsonius,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,66,5,NA,NA,NA,2.7,LC,2013,NA,NA,NA,NA,NA,3,9,NA,16,65,0,0,1,0,3,5,5,0,0,1,2,2,1,1,4,0,1,3,1,5,2,2,2,7,2,4,1,1,3,3,3,2013,1,LC
Finescale dace,Chrosomus neogaeus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,23,6,NA,NA,NA,3,LC,2013,NA,NA,NA,NA,NA,3,6,NA,2,22,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,2,1,1,1,1,0,0,1,0,2,2,1,1,0,2,0,2010,2,LC
Eurasian minnow,Phoxinus phoxinus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,35,11,NA,NA,NA,3.3,LC,2008,0,0,1,0,2,3,7,NA,114,401,5,11,6,4,9,10,13,9,5,16,23,15,10,18,16,14,13,7,20,15,11,17,12,30,13,16,13,20,11,12,7,1996,2,LR/lc
Flathead chub,Platygobio gracilis,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,213,NA,NA,NA,NA,3.5,LC,2013,NA,NA,NA,NA,NA,2,14.3,NA,4,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,1,1,1,1,0,3,2,2013,1,LC
Czekanowski's minnow,Rhynchocypris czekanowskii,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,66,NA,NA,NA,NA,3.3,LC,2008,NA,NA,NA,NA,NA,2,9,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008,2,LC
Lake minnow,Rhynchocypris percnurus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,66,NA,NA,NA,NA,3.2,LC,2008,NA,NA,NA,NA,NA,2,9,NA,31,400,1,0,0,3,6,9,8,6,4,4,14,10,10,8,19,10,15,12,18,23,15,15,19,25,19,22,19,25,17,30,14,2008,2,LC
Roach,Rutilus rutilus,Cyprinidae,Freshwater,Actinopterygii,Freshwater fishes,1012,14,NA,NA,NA,2.9,LC,2008,NA,NA,NA,NA,NA,3,25,1012,468,1782,14,10,14,22,28,69,44,53,49,61,61,60,57,53,53,65,64,68,58,83,75,79,64,92,74,79,61,70,70,77,55,1996,2,LR/lc
Longnose sucker,Catostomus catostomus,Catostomidae,Freshwater,Actinopterygii,Freshwater fishes,1800,20,NA,NA,NA,3.1,LC,2014,NA,NA,NA,NA,NA,3,22.5,1800,114,527,9,4,8,6,20,22,8,15,26,28,27,23,14,19,20,14,19,17,17,15,15,23,17,16,14,23,14,29,19,15,11,2014,1,LC
White sucker,Catostomus commersonii,Catostomidae,Freshwater,Actinopterygii,Freshwater fishes,1617,12,NA,NA,NA,2.5,LC,2013,NA,NA,NA,NA,NA,3,40.7,1617,90,371,5,2,7,4,11,12,5,15,14,17,18,16,16,12,14,3,13,14,11,15,10,17,15,18,10,14,14,18,11,13,7,2013,1,LC
Stone loach,Barbatula barbatula,Balitoridae,Freshwater,Actinopterygii,Freshwater fishes,200,7,NA,NA,NA,3.5,LC,2011,NA,NA,NA,NA,NA,3,12,200,40,161,0,1,1,0,1,2,1,2,3,6,5,2,4,5,6,4,10,8,12,4,3,15,5,5,7,8,13,7,7,6,8,1996,2,LR/lc
NA,Barbatula toni,Balitoridae,Freshwater,Actinopterygii,Freshwater fishes,283,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,2,16,NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,NA,NA,NA
Northern pike,Esox lucius,Esocidae,Freshwater,Actinopterygii,Freshwater fishes,15620,30,NA,3e4,NA,4.4,LC,2013,NA,NA,NA,NA,NA,4,40,15620,346,1180,7,6,7,10,22,21,30,28,28,36,46,46,34,41,37,38,55,42,42,56,54,65,29,42,46,44,56,59,56,55,42,2008,2,LC
Alaska blackfish,Dallia pectoralis,Umbridae,Freshwater,Actinopterygii,Freshwater fishes,201,8,NA,170,1,3.3,LC,2013,NA,NA,NA,NA,NA,5,10.8,201,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,2013,1,LC
Lenok,Brachymystax lenok,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,8000,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,2,55,8000,21,29,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,2,1,0,2,3,0,0,1,1,1,4,3,5,NA,NA,NA
Vendace,Coregonus albula,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,1000,10,730,NA,NA,3.1,LC,2011,NA,NA,NA,NA,NA,4,20,1000,84,249,3,1,1,2,11,6,2,6,7,8,8,11,9,9,7,7,3,26,7,12,10,11,13,7,9,11,6,4,10,16,6,2008,3,LC
Cisco,Coregonus artedi,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,3000,11,NA,NA,NA,3.4,LC,1996,NA,NA,NA,NA,NA,3,29.3,3000,85,256,4,2,5,6,6,7,5,2,3,6,7,10,3,4,5,2,7,18,8,7,10,15,12,8,15,18,14,12,9,17,9,1996,4,LR/lc
Arctic cisco,Coregonus autumnalis,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,4365,12,2555,NA,NA,3.3,LC,2008,0,1,0,0,3,4,47,NA,14,55,0,0,0,1,3,4,2,2,2,3,3,4,1,1,2,0,0,5,2,1,0,2,3,1,2,0,3,2,0,4,2,1996,2,LR/lc
Lake whitefish,Coregonus clupeaformis,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,10450,50,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,3,54.1,10450,230,754,3,5,1,7,20,20,13,13,14,15,16,20,19,20,14,19,21,47,10,25,23,31,39,46,42,35,37,35,54,55,36,NA,NA,NA
Bering cisco,Coregonus laurettae,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,1396,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,2,30,NA,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,NA,NA,NA
Common whitefish,Coregonus lavaretus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,10000,NA,NA,NA,NA,3.2,VU,2008,0,0,1,0,2,2,50,10000,162,462,4,2,5,6,9,6,6,9,10,10,5,12,12,15,9,15,13,37,7,12,16,21,25,24,23,23,23,18,20,36,29,2008,2,VU
Muksun,Coregonus muksun,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,7590,23,3650,NA,NA,3.5,LC,2008,NA,NA,NA,NA,NA,4,45,7590,4,15,1,1,1,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2008,1,LC
Broad whitefish,Coregonus nasus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,8800,15,2555,NA,NA,3.3,LC,2008,NA,NA,NA,NA,NA,4,46,8800,15,55,1,0,1,0,2,3,2,2,2,3,5,1,0,1,0,1,1,1,1,0,2,1,1,3,1,4,0,3,5,4,4,2008,2,LC
Peled,Coregonus peled,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,5000,13,NA,NA,NA,4.1,LC,2008,NA,NA,NA,NA,NA,3,36,5000,13,32,0,1,0,1,1,2,2,0,0,2,1,1,1,1,1,1,0,3,0,1,0,0,0,1,0,0,1,2,0,6,3,2008,2,LC
Humpback whitefish,Coregonus pidschian,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,1751,14,4015,NA,NA,3.3,LC,2008,NA,NA,NA,NA,NA,4,32.8,NA,5,19,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,1,2,1,0,1,0,4,3,2008,2,LC
Least cisco,Coregonus sardinella,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,305,26,NA,NA,NA,3.3,LC,2008,NA,NA,NA,NA,NA,3,23,305,6,64,1,0,0,1,0,2,1,2,1,2,1,0,1,3,1,0,0,6,2,2,1,4,2,4,6,0,5,5,2,5,4,2008,1,LC
Tugun,Coregonus tugun,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,109,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,2,11,NA,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA
Taimen,Hucho taimen,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,105000,55,1825,NA,NA,4.2,VU,2013,1,1,0,1,19,4,200,105000,35,51,0,0,0,0,0,0,0,1,1,0,0,3,0,3,1,1,1,1,3,1,1,1,6,5,5,4,0,2,2,6,3,2012,2,VU
Chum salmon,Oncorhynchus keta,Salmonidae,Marine,Actinopterygii,Marine fishes,8745,7,1186,3850,2,3.4,NA,NA,NA,NA,NA,NA,NA,6,58,8745,285,915,10,6,12,13,38,37,28,25,28,33,21,37,23,30,26,23,24,30,37,31,38,41,39,38,42,42,36,32,27,29,39,NA,NA,NA
Coho salmon,Oncorhynchus kisutch,Salmonidae,Marine,Actinopterygii,Marine fishes,8360,5,1095,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,4,71,8360,709,3546,26,21,39,34,97,116,93,116,99,92,113,151,136,132,134,103,156,156,161,136,168,137,132,114,127,138,111,147,119,139,102,NA,NA,NA
Rainbow trout,Oncorhynchus mykiss,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,12235,11,1095,3500,NA,3.5,NA,NA,NA,NA,NA,NA,NA,5,60,12235,4406,19573,106,108,105,132,392,390,404,418,424,464,475,583,559,611,620,636,745,833,730,825,835,822,832,885,985,916,911,986,932,1015,890,NA,NA,NA
Sockeye salmon,Oncorhynchus nerka,Salmonidae,Marine,Actinopterygii,Marine fishes,4241,8,730,126.5,NA,3.2,LC,2011,NA,NA,NA,NA,NA,5,45,4241,571,2248,10,10,13,17,36,41,42,39,43,47,48,68,67,55,51,56,68,119,95,96,105,99,106,97,127,125,121,127,113,114,92,2008,2,LC
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,Marine,Actinopterygii,Marine fishes,33770,9,1460,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,4,70,33770,1221,3833,26,22,17,30,51,51,67,79,65,78,82,107,91,94,122,88,148,161,160,168,157,181,195,175,183,207,208,229,200,213,177,NA,NA,NA
Pink salmon,Oncorhynchus gorbuscha,Salmonidae,Marine,Actinopterygii,Marine fishes,6800,3,730,2e3,NA,3.4,NA,NA,NA,NA,NA,NA,NA,5,50.5,6800,215,717,10,11,3,9,20,12,17,13,12,11,16,22,14,23,21,24,19,35,34,29,32,37,37,32,43,44,27,25,31,28,26,NA,NA,NA
Pygmy whitefish,Prosopium coulterii,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,122,9,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,3,11.5,NA,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,2,1,1,0,NA,NA,NA
Round whitefish,Prosopium cylindraceum,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,1498,16,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,3,28.6,1498,7,38,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,2,2,2,2,2,2,2,3,5,3,3,2,NA,NA,NA
Atlantic salmon,Salmo salar,Salmonidae,Marine,Actinopterygii,Marine fishes,25740,13,1642,16500,NA,3.8,LC,1996,NA,NA,NA,NA,NA,5,38,25740,3943,13234,52,70,96,105,211,160,195,204,202,230,332,390,368,366,382,378,489,587,508,610,633,595,590,622,712,694,667,711,646,782,643,1996,1,LR/lc
Sea trout,Salmo trutta,Salmonidae,Marine,Actinopterygii,Marine fishes,12250,38,1278,1e4,NA,3.8,LC,2011,0,0,1,0,2,5,72,12250,1251,6912,22,22,47,36,146,122,129,143,167,149,171,209,195,221,235,235,268,284,248,322,306,331,279,313,354,323,326,305,329,378,298,1996,2,LR/lc
Arctic char,Salvelinus alpinus,Salmonidae,Marine,Actinopterygii,Marine fishes,11800,40,NA,NA,NA,4.4,LC,2008,NA,NA,NA,NA,NA,3,40,11800,542,1823,10,17,18,17,35,42,38,45,48,48,55,75,51,73,69,76,62,65,74,81,73,67,69,84,90,72,73,73,74,87,63,1996,2,LR/lc
Chukot char,Salvelinus andriashevi,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,1384,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,2,29.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Boganida char,Salvelinus boganidae,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,4248,NA,NA,NA,NA,3.8,LC,2009,1,1,0,0,3,2,46.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,LC
Cherskii's char,Salvelinus czerskii,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Drjagin's char,Salvelinus drjagini,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,8300,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,2,60.1,8300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Small-mouth char,Salvelinus elgyticus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,114,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,2,23.8,114,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Brook trout,Salvelinus fontinalis,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,4397,24,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,3,26.4,4397,658,2410,23,25,15,30,75,63,61,61,78,80,80,74,51,83,73,89,101,94,96,96,110,116,82,101,85,90,109,86,100,91,92,NA,NA,NA
Yakutian char,Salvelinus jacuticus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Dolly Varden,Salvelinus malma,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,14400,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,2,37.5,14400,74,188,0,1,0,3,7,5,2,9,7,2,8,5,6,7,6,7,4,8,6,5,4,6,9,10,4,4,7,9,14,12,11,NA,NA,NA
Lake trout,Salvelinus namaycush,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,17985,50,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,3,50,17985,809,3621,25,18,24,28,71,75,83,75,121,121,96,105,98,121,109,119,137,138,160,146,137,167,155,164,143,176,172,143,167,180,146,NA,NA,NA
Taymyr Lake char,Salvelinus taimyricus,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Taranetz char,Salvelinus taranetzi,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA
Esei Lake char,Salvelinus tolmachoffi,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,2377,NA,NA,NA,NA,3.7,EN,2009,1,1,0,0,4,2,37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,EN
Long-finned char,Salvethymus svetovidovi,Salmonidae,Freshwater,Actinopterygii,Freshwater fishes,NA,NA,NA,NA,NA,3.7,VU,1996,NA,NA,NA,NA,NA,1,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,1,VU
