common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Semi-palmated Plover,Charadrius semipalmatus,Charadriidae,Terrestrial,Aves,Terrestrial birds,52,9.2,912,4,1,3,LC,2016,0,0,0,1,1,6,NA,52,4,47,0,0,0,1,1,1,2,0,1,1,4,3,4,3,3,0,2,1,1,3,1,1,3,4,1,0,2,1,0,3,0,1988,8,LR/lc
Eurasian Dotterel,Eudromias morinellus,Charadriidae,Terrestrial,Aves,Terrestrial birds,109,11.8,727,3,1.5,3,LC,2016,0,0,0,1,1,6,NA,109,5,13,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1988,8,LR/lc
Long-billed Dowitcher,Limnodromus scolopaceus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,130,13.2,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,130,8,27,0,1,0,0,0,0,0,0,1,2,0,2,1,0,1,1,2,0,1,2,3,3,0,1,1,1,1,0,1,2,0,1988,8,LR/lc
Hudsonian Godwit,Limosa haemastica,Scolopacidae,Terrestrial,Aves,Terrestrial birds,256,NA,NA,4,1,3,LC,2016,0,0,0,1,1,4,NA,256,7,21,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,2,1,1,2,0,0,2,0,3,1988,8,NT
Bar-tailed Godwit,Limosa lapponica,Scolopacidae,Terrestrial,Aves,Terrestrial birds,322,34,730,4,1,3,NT,2017,1,1,1,1,22,6,NA,322,42,138,1,0,1,2,2,2,5,2,1,4,6,3,2,6,3,11,8,7,5,11,3,2,7,2,7,7,7,5,3,8,5,1988,10,LR/lc
Eskimo Curlew,Numenius borealis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,369,NA,NA,3.4,NA,2.5,CR,2016,1,1,0,1,8,3,NA,369,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1994,11,CR
Whimbrel,Numenius phaeopus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,366,24.2,730,4,1,3,LC,2016,0,0,0,1,1,6,NA,366,31,98,0,1,0,4,3,6,10,3,5,7,3,2,4,5,4,2,3,2,3,3,3,2,5,0,3,3,0,2,3,5,2,1988,8,LR/lc
Bristle-thighed Curlew,Numenius tahitiensis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,409,23.8,1065,4,1,2.5,VU,2016,1,1,1,1,14,6,NA,409,10,15,0,1,0,0,0,1,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1994,9,VU
Spotted Redshank,Tringa erythropus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,158,8.6,365,4,1,3,LC,2016,1,1,0,1,9,6,NA,158,0,11,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,1988,9,LR/lc
Wandering Tattler,Tringa incana,Scolopacidae,Terrestrial,Aves,Terrestrial birds,111,NA,NA,4,NA,3,LC,2016,0,0,0,1,1,3,NA,111,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1988,8,LR/lc
