common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Common Ringed Plover,Charadrius hiaticula,Charadriidae,Terrestrial,Aves,Terrestrial birds,64,20.8,365,3.5,2,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,1,0,1,2,1,2,3,1,1,1,1,4,1,2,6,2,1,3,3,1,3,0,0,0,0,1,2,5,4
Semi-palmated Plover,Charadrius semipalmatus,Charadriidae,Terrestrial,Aves,Terrestrial birds,52,9.2,912,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,1,1,1,2,0,1,1,4,3,4,3,3,0,2,1,1,3,1,1,3,4,1,0,2,1,0,3,0
Eurasian Dotterel,Eudromias morinellus,Charadriidae,Terrestrial,Aves,Terrestrial birds,109,11.8,727,3,1.5,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
Long-billed Dowitcher,Limnodromus scolopaceus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,130,13.2,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,0,0,0,0,0,1,2,0,2,1,0,1,1,2,0,1,2,3,3,0,1,1,1,1,0,1,2,0
Hudsonian Godwit,Limosa haemastica,Scolopacidae,Terrestrial,Aves,Terrestrial birds,256,NA,NA,4,1,3,4,LC,2016,0,0,0,1,1,1988,NT,8,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,2,1,1,2,0,0,2,0,3
Bar-tailed Godwit,Limosa lapponica,Scolopacidae,Terrestrial,Aves,Terrestrial birds,322,34,730,4,1,3,6,NT,2017,1,1,1,1,22,1988,LR/lc,10,1,0,1,2,2,2,5,2,1,4,6,3,2,6,3,11,8,7,5,11,3,2,7,2,7,7,7,5,3,8,5
Eskimo Curlew,Numenius borealis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,369,NA,NA,3.4,NA,2.5,3,CR,2016,1,1,0,1,8,1994,CR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Whimbrel,Numenius phaeopus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,366,24.2,730,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,4,3,6,10,3,5,7,3,2,4,5,4,2,3,2,3,3,3,2,5,0,3,3,0,2,3,5,2
Bristle-thighed Curlew,Numenius tahitiensis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,409,23.8,1065,4,1,2.5,6,VU,2016,1,1,1,1,14,1994,VU,9,0,1,0,0,0,1,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0
Spotted Redshank,Tringa erythropus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,158,8.6,365,4,1,3,6,LC,2016,1,1,0,1,9,1988,LR/lc,9,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0
Wandering Tattler,Tringa incana,Scolopacidae,Terrestrial,Aves,Terrestrial birds,111,NA,NA,4,NA,3,3,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ruddy Turnstone,Arenaria interpres,Scolopacidae,Terrestrial,Aves,Terrestrial birds,136,22.3,730,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,2,0,2,4,4,5,3,2,2,4,4,3,6,4,4,7,7,2,3,9,2,4,5,0,4,3,4,1,4,1
Black Turnstone,Arenaria melanocephala,Scolopacidae,Terrestrial,Aves,Terrestrial birds,119,NA,NA,4,1,3,4,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,1,2,1,1,0,1,0,0,2,1,4,2,0,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0
Surfbird,Calidris virgata,Scolopacidae,Terrestrial,Aves,Terrestrial birds,198,NA,NA,4,NA,3,3,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Great Knot,Calidris tenuirostris,Scolopacidae,Terrestrial,Aves,Terrestrial birds,179,NA,NA,4,NA,2.5,3,EN,2016,1,1,1,1,17,1988,LR/lc,10,0,0,0,3,9,11,13,7,15,12,18,12,4,12,8,12,15,23,17,17,17,12,18,15,11,13,11,11,15,16,12
Red Knot,Calidris canutus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,135,27.3,1095,4,1,3,6,NT,2017,1,1,1,1,20,1988,LR/lc,10,1,1,1,1,4,7,15,13,7,14,7,11,13,10,14,13,12,19,15,18,29,17,28,40,24,31,25,21,26,30,13
Sanderling,Calidris alba,Scolopacidae,Terrestrial,Aves,Terrestrial birds,50,18.6,730,4,1.5,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,2,0,1,5,5,5,6,7,1,3,11,2,3,5,2,4,8,2,3,4,4,4,7,7,4,3,5,6,3,7,2
